O,H,L,C,V,T,BV
0.01035032,0.0104044,0.01034144,0.01034144,1005.67966161,2017-10-20T10:00:00,10.41744707
0.01034144,0.010395,0.01033103,0.010364,876.82350166,2017-10-20T11:00:00,9.07139932
0.010364,0.01036698,0.01032184,0.0103588,1538.33287597,2017-10-20T12:00:00,15.9158806
0.01035879,0.01036669,0.01030513,0.01033689,1217.44087988,2017-10-20T13:00:00,12.57177777
0.01033689,0.0104649,0.01031065,0.01032074,7190.90874496,2017-10-20T14:00:00,74.67932563
0.01033127,0.01033127,0.01018189,0.01024,7028.68990815,2017-10-20T15:00:00,72.1786393
0.01024,0.010299,0.01017108,0.010177,2605.4304654,2017-10-20T16:00:00,26.63516246
0.01017641,0.01022073,0.01017102,0.010216,2239.87783671,2017-10-20T17:00:00,22.82653363
0.010216,0.01021741,0.01013701,0.01017036,2231.80229415,2017-10-20T18:00:00,22.70120776
0.01016001,0.01022073,0.010129,0.010129,4958.48435215,2017-10-20T19:00:00,50.35582446
0.01012888,0.01013943,0.01000874,0.01011309,3974.65224664,2017-10-20T20:00:00,40.00519789
0.01011309,0.01021389,0.01009174,0.01015998,2870.20864341,2017-10-20T21:00:00,29.17579528
0.01010696,0.0101595,0.01007995,0.01009595,1063.51924872,2017-10-20T22:00:00,10.74680329
0.01009995,0.01009995,0.0100062,0.01002175,1492.46315587,2017-10-20T23:00:00,15.02013616
0.0100062,0.01003875,0.00998878,0.01001,2178.93320991,2017-10-21T00:00:00,21.80197368
0.00999503,0.01006115,0.00988529,0.00992847,2780.10910058,2017-10-21T01:00:00,27.62538918
0.00992847,0.00994987,0.009851,0.00985564,3609.21765158,2017-10-21T02:00:00,35.77093073
0.00985568,0.00989,0.00980626,0.0098064,2012.33918341,2017-10-21T03:00:00,19.79826589
0.00980641,0.00980641,0.00955245,0.00962503,6339.00284233,2017-10-21T04:00:00,61.24607581
0.0096325,0.00967894,0.0094,0.00954904,6415.21253282,2017-10-21T05:00:00,61.34316217
0.0095495,0.00963988,0.00954651,0.00961152,1654.36165849,2017-10-21T06:00:00,15.86993419
0.00961152,0.00962152,0.00951297,0.00952501,4578.00464734,2017-10-21T07:00:00,43.72682885
0.00953001,0.00962,0.00951101,0.00954,2877.24836159,2017-10-21T08:00:00,27.51460832
0.00954,0.00960766,0.00951504,0.00953107,2611.6804965,2017-10-21T09:00:00,24.91005412
0.00954,0.00967199,0.00952,0.00965,1707.55851881,2017-10-21T10:00:00,16.3531902
0.00963001,0.009715,0.00959103,0.00959334,3649.23001471,2017-10-21T11:00:00,35.2134535
0.00959334,0.00963472,0.00943021,0.009487,3004.02023401,2017-10-21T12:00:00,28.63870597
0.009487,0.009546,0.00943749,0.009465,2917.23770328,2017-10-21T13:00:00,27.6496163
0.009465,0.0094949,0.0093511,0.00942008,6133.34340022,2017-10-21T14:00:00,57.85057417
0.00946598,0.00946598,0.00928929,0.00928929,4189.74034826,2017-10-21T15:00:00,39.21030992
0.00928871,0.00934919,0.00920259,0.00929186,4348.63326056,2017-10-21T16:00:00,40.28657058
0.00929186,0.0095852,0.00921,0.0095177,7301.44751513,2017-10-21T17:00:00,69.03307634
0.0095177,0.009557,0.0094369,0.00949187,3295.56092264,2017-10-21T18:00:00,31.27947173
0.0095,0.0095963,0.00948501,0.00958418,1961.8250158,2017-10-21T19:00:00,18.68395304
0.00957634,0.0096,0.00947688,0.00947962,3361.56762208,2017-10-21T20:00:00,32.15225223
0.00947962,0.00956376,0.0094402,0.00956005,885.20345307,2017-10-21T21:00:00,8.38972071
0.00956005,0.00958205,0.00950001,0.009551,1446.04024637,2017-10-21T22:00:00,13.77809686
0.009582,0.00965146,0.00953806,0.00965146,1599.66466784,2017-10-21T23:00:00,15.34868349
0.00965146,0.0096606,0.009596,0.0096357,1583.97360877,2017-10-22T00:00:00,15.24844587
0.0096357,0.00968299,0.00956199,0.00960001,1823.58384599,2017-10-22T01:00:00,17.52913348
0.009615,0.00978486,0.00961007,0.009728,3554.94216935,2017-10-22T02:00:00,34.54578093
0.00971804,0.00973,0.00967289,0.00973,1750.55064387,2017-10-22T03:00:00,16.99471095
0.00973,0.00984454,0.00969331,0.00976932,3422.12612771,2017-10-22T04:00:00,33.44776751
0.0097666,0.00979452,0.00967002,0.009708,3199.40885258,2017-10-22T05:00:00,31.14648751
0.00967501,0.00975,0.00967501,0.00968502,1131.74788315,2017-10-22T06:00:00,10.99640397
0.00968502,0.00973,0.00960392,0.009627,1788.95779858,2017-10-22T07:00:00,17.23720231
0.00960515,0.009637,0.00954704,0.00954855,1100.13234817,2017-10-22T08:00:00,10.55296998
0.00954855,0.00967,0.00953,0.00967,1391.1602002,2017-10-22T09:00:00,13.31962305
0.00964071,0.00971362,0.00962001,0.00971362,1245.78637501,2017-10-22T10:00:00,12.04344983
0.00971362,0.0097499,0.00964096,0.00969323,1654.52627835,2017-10-22T11:00:00,16.06441595
0.00967198,0.00978584,0.00952,0.00955315,3381.94990166,2017-10-22T12:00:00,32.63755871
0.00963,0.0097,0.0096,0.0097,1934.7690844,2017-10-22T13:00:00,18.70129708
0.0096999,0.009735,0.00952,0.009535,1786.28802821,2017-10-22T14:00:00,17.18011449
0.00955001,0.0096,0.00939512,0.009509,3989.31140962,2017-10-22T15:00:00,37.94229284
0.00950905,0.00959498,0.00944434,0.00949599,3713.55286957,2017-10-22T16:00:00,35.25592528
0.00948308,0.009591,0.00948308,0.00949829,2279.97154305,2017-10-22T17:00:00,21.69284903
0.00949829,0.00957964,0.009458,0.00957964,5400.093699,2017-10-22T18:00:00,51.32312327
0.009573,0.01000039,0.0095179,0.0095716,16369.92819771,2017-10-22T19:00:00,161.50339209
0.0096,0.00962399,0.0095179,0.00953654,1776.29995685,2017-10-22T20:00:00,16.9735405
0.00953654,0.00957776,0.00949598,0.0095,1805.05335758,2017-10-22T21:00:00,17.21621403
0.0095,0.00950316,0.00944323,0.0094669,2259.30669861,2017-10-22T22:00:00,21.37969932
0.009466,0.0094669,0.00939973,0.00939973,1603.61008199,2017-10-22T23:00:00,15.11305389
0.00939964,0.0094449,0.00931492,0.00939236,3728.16140123,2017-10-23T00:00:00,34.93095744
0.00939236,0.00939236,0.00931375,0.00932663,1249.35901413,2017-10-23T01:00:00,11.67629103
0.00932663,0.00936594,0.0092904,0.0093,2591.09031637,2017-10-23T02:00:00,24.16287983
0.009295,0.00936373,0.00927951,0.00928912,2828.5498127,2017-10-23T03:00:00,26.33393825
0.00929073,0.00929073,0.0091794,0.00920001,2714.02855432,2017-10-23T04:00:00,25.07752478
0.00920001,0.00927,0.0091694,0.00927,2475.86449972,2017-10-23T05:00:00,22.80790378
0.00925081,0.00931106,0.00922482,0.009279,4631.52670797,2017-10-23T06:00:00,42.96317083
0.0093,0.009314,0.0091694,0.00918182,3225.01015437,2017-10-23T07:00:00,29.72793879
0.00918,0.009295,0.00918,0.00920567,3060.85652741,2017-10-23T08:00:00,28.23575904
0.00925399,0.00926898,0.00918,0.00918,3385.93322727,2017-10-23T09:00:00,31.15610432
0.0092,0.00925398,0.00918,0.00923889,3273.3861746,2017-10-23T10:00:00,30.15439041
0.00923889,0.009485,0.00922001,0.00939699,6322.4587314,2017-10-23T11:00:00,58.87810206
0.00939499,0.00939499,0.00921838,0.00923504,3971.8500627,2017-10-23T12:00:00,36.88723604
0.009232,0.00932713,0.00916946,0.00919457,6704.38414119,2017-10-23T13:00:00,61.91167213
0.00919457,0.00925,0.00915023,0.00917817,3732.59074801,2017-10-23T14:00:00,34.32169454
0.00918511,0.00923343,0.00911783,0.00913,4791.04266782,2017-10-23T15:00:00,43.90889076
0.00913,0.00922863,0.00909088,0.00922144,4495.46654479,2017-10-23T16:00:00,41.14973043
0.00921869,0.00924996,0.00905619,0.00911111,6173.50878802,2017-10-23T17:00:00,56.54519808
0.0091934,0.00919442,0.0090304,0.009074,4388.47987247,2017-10-23T18:00:00,39.98585428
0.009076,0.00915077,0.00903001,0.00915076,6049.80173359,2017-10-23T19:00:00,54.91435264
0.00915076,0.0092,0.00906962,0.009077,5187.49755722,2017-10-23T20:00:00,47.37489271
0.00907773,0.00915268,0.00899917,0.009,4840.63673826,2017-10-23T21:00:00,43.78021325
0.009,0.00910761,0.0087675,0.0090472,9560.89920259,2017-10-23T22:00:00,85.62437463
0.00897501,0.00921,0.00894058,0.00904478,7814.77866732,2017-10-23T23:00:00,71.26851124
0.00904478,0.0090929,0.0088,0.00895,4494.08473888,2017-10-24T00:00:00,40.4002895
0.00895624,0.0105,0.00878235,0.00999,34745.19252793,2017-10-24T01:00:00,336.2386873
0.00993603,0.010499,0.009892,0.010071,26441.45369218,2017-10-24T02:00:00,270.35559442
0.01006688,0.01015433,0.0098679,0.00990807,8683.85264455,2017-10-24T03:00:00,86.78604394
0.00990806,0.01013389,0.00990806,0.01012285,6106.20458566,2017-10-24T04:00:00,61.33274922
0.01013,0.01024473,0.01005382,0.01008738,6272.96720006,2017-10-24T05:00:00,63.76534043
0.01008553,0.01008738,0.00998935,0.01000103,3759.95377964,2017-10-24T06:00:00,37.71050731
0.01000104,0.01008911,0.00998935,0.01001001,6631.6148783,2017-10-24T07:00:00,66.57508927
0.01001001,0.01012422,0.01001001,0.01012,4114.75318064,2017-10-24T08:00:00,41.36846982
0.01012422,0.01022,0.010088,0.0102184,3058.6386762,2017-10-24T09:00:00,31.06129652
0.01018814,0.01022602,0.010167,0.01016724,2617.91868515,2017-10-24T10:00:00,26.70096244
0.0101695,0.01041619,0.01012153,0.01025695,5435.35749895,2017-10-24T11:00:00,55.79513633
0.01025695,0.01039999,0.01024428,0.0102971,3947.4524256,2017-10-24T12:00:00,40.75250673
0.010296,0.01041619,0.01027015,0.01039,6663.0365764,2017-10-24T13:00:00,69.03557028
0.01039,0.01041619,0.01033133,0.0103766,3126.66610671,2017-10-24T14:00:00,32.42837231
0.01037685,0.01037685,0.01025,0.01025,5516.37902245,2017-10-24T15:00:00,56.98647623
0.01025,0.0102585,0.010017,0.01001726,3651.58781768,2017-10-24T16:00:00,37.00357122
0.01001726,0.01005101,0.01001001,0.01005,2029.06670831,2017-10-24T17:00:00,20.33000028
0.01005,0.01009,0.01003005,0.01006,1607.40507739,2017-10-24T18:00:00,16.1592795
0.01006001,0.01021512,0.01006001,0.01018282,2160.29095289,2017-10-24T19:00:00,21.93336321
0.01015847,0.0102828,0.01015511,0.01016944,2942.10786928,2017-10-24T20:00:00,30.08020966
0.0101694,0.01023899,0.0101271,0.01023,2668.33444808,2017-10-24T21:00:00,27.1401294
0.01023001,0.01023885,0.01010996,0.01014,3148.16479683,2017-10-24T22:00:00,31.98482679
0.01014,0.01019,0.01006,0.01009198,4665.74815945,2017-10-24T23:00:00,47.14895534
0.01009197,0.01013194,0.01006002,0.010092,2079.91384135,2017-10-25T00:00:00,20.98905293
0.01010383,0.01017073,0.01001001,0.01003,4217.353599,2017-10-25T01:00:00,42.48381625
0.01007919,0.01007919,0.00994227,0.00995001,3964.0322555,2017-10-25T02:00:00,39.74729817
0.00995001,0.01004393,0.0099,0.010031,3517.07933417,2017-10-25T03:00:00,35.10070222
0.010031,0.01003599,0.0099,0.00993,1618.83551858,2017-10-25T04:00:00,16.09549764
0.00995398,0.0099678,0.0098995,0.00995501,1590.03214764,2017-10-25T05:00:00,15.81472733
0.00995501,0.00996999,0.009945,0.00996999,956.6171249,2017-10-25T06:00:00,9.5181117
0.00996,0.00998224,0.00986715,0.00994781,2348.71893591,2017-10-25T07:00:00,23.30949763
0.00993414,0.00997,0.00986,0.00986398,2738.56966257,2017-10-25T08:00:00,27.09063424
0.00987458,0.00989,0.00982201,0.00988493,2026.62071705,2017-10-25T09:00:00,19.992765
0.00988493,0.00988999,0.0097,0.00979401,3938.57675046,2017-10-25T10:00:00,38.58475014
0.0098,0.00995623,0.00975497,0.00987,3476.85464171,2017-10-25T11:00:00,34.19250585
0.00987,0.00995967,0.00981602,0.0099,3678.22123835,2017-10-25T12:00:00,36.46568239
0.0099,0.00998224,0.00987,0.009958,1786.61774586,2017-10-25T13:00:00,17.74169634
0.0099198,0.00997,0.00988,0.0099,2945.5951307,2017-10-25T14:00:00,29.22818651
0.00993645,0.00998224,0.00990116,0.00994,1280.74525882,2017-10-25T15:00:00,12.74482036
0.00994,0.00997824,0.00984001,0.00985001,8096.29927302,2017-10-25T16:00:00,79.98478033
0.00985001,0.00985001,0.00981588,0.00984969,9583.47352443,2017-10-25T17:00:00,94.39374808
0.00984969,0.00990282,0.00984864,0.00985501,2456.65736943,2017-10-25T18:00:00,24.25035282
0.009888,0.00995,0.00985602,0.00987571,3712.85528963,2017-10-25T19:00:00,36.77461122
0.009875,0.00991289,0.00973777,0.009795,2873.40745771,2017-10-25T20:00:00,28.12788147
0.00974302,0.009795,0.00966416,0.0097,3351.53755502,2017-10-25T21:00:00,32.55762365
0.00973472,0.00979998,0.009705,0.00977301,1587.69958119,2017-10-25T22:00:00,15.49337884
0.00977301,0.0098298,0.00970502,0.00981303,2667.91425451,2017-10-25T23:00:00,26.07915631
0.00981001,0.00981994,0.0097,0.00971305,2342.73061753,2017-10-26T00:00:00,22.87356331
0.00970001,0.009745,0.00969153,0.00973681,2049.78662741,2017-10-26T01:00:00,19.91298243
0.00973503,0.00976948,0.00973502,0.00973746,1945.25751036,2017-10-26T02:00:00,18.94346493
0.00973746,0.009811,0.00970987,0.00970987,3053.4911611,2017-10-26T03:00:00,29.72713123
0.00970987,0.009749,0.00967,0.00969294,1500.07716264,2017-10-26T04:00:00,14.55144692
0.00969294,0.009739,0.00965665,0.00967224,594.2869195,2017-10-26T05:00:00,5.75482276
0.00967538,0.00972255,0.00966001,0.00967103,1417.25936203,2017-10-26T06:00:00,13.73275713
0.00967103,0.00967103,0.00963724,0.00966,1156.78540529,2017-10-26T07:00:00,11.16085483
0.00965782,0.0097,0.00963181,0.00965562,2194.0432332,2017-10-26T08:00:00,21.23199125
0.00966683,0.0097,0.00965322,0.00969998,1261.37245809,2017-10-26T09:00:00,12.20830973
0.00969998,0.00975,0.009676,0.00972,790.03307041,2017-10-26T10:00:00,7.67158062
0.00972,0.00977396,0.00960575,0.00960833,2316.26511672,2017-10-26T11:00:00,22.3452189
0.00960575,0.00964996,0.00947699,0.0094877,3845.78021139,2017-10-26T12:00:00,36.71290565
0.0094877,0.009595,0.00944918,0.009575,2959.59390587,2017-10-26T13:00:00,28.10351318
0.00958,0.00958,0.00943671,0.0094772,1973.71713372,2017-10-26T14:00:00,18.69866182
0.0094772,0.00947785,0.00941295,0.009415,1528.79011506,2017-10-26T15:00:00,14.44253406
0.009415,0.009426,0.00934678,0.009377,2925.0235669,2017-10-26T16:00:00,27.4780674
0.00935,0.009423,0.00935,0.00938,2220.98638072,2017-10-26T17:00:00,20.85482149
0.00938,0.009426,0.00935202,0.0094235,3375.73176916,2017-10-26T18:00:00,31.71528995
0.0094235,0.00945101,0.00937165,0.00937165,2428.19573047,2017-10-26T19:00:00,22.85504828
0.00937206,0.0094312,0.009315,0.00942999,3105.88033186,2017-10-26T20:00:00,29.11330394
0.00942999,0.00949783,0.00938391,0.00944,2610.40664691,2017-10-26T21:00:00,24.61864466
0.00944,0.00951534,0.00940968,0.00943755,1446.88276853,2017-10-26T22:00:00,13.65930106
0.00943755,0.00944734,0.00936835,0.00939754,1286.35918736,2017-10-26T23:00:00,12.11474541
0.00939754,0.00944261,0.00934316,0.00934318,1823.19597217,2017-10-27T00:00:00,17.11735728
0.00934318,0.0093851,0.00934316,0.00937,1533.01063229,2017-10-27T01:00:00,14.3401324
0.00936429,0.00937433,0.00929615,0.00929681,2229.88313218,2017-10-27T02:00:00,20.80154739
0.00929681,0.00929781,0.00928114,0.00929781,5555.74489577,2017-10-27T03:00:00,51.64991077
0.00929781,0.00935911,0.00929282,0.00935,6124.16910905,2017-10-27T04:00:00,56.97882763
0.00935,0.00944185,0.009326,0.00944185,2212.74090094,2017-10-27T05:00:00,20.7797703
0.00944185,0.00950184,0.00940302,0.00947105,1076.96347074,2017-10-27T06:00:00,10.17403733
0.00947105,0.009495,0.00936678,0.00936678,2339.56995341,2017-10-27T07:00:00,22.03000842
0.00936678,0.00940408,0.00932691,0.00937624,1688.37801299,2017-10-27T08:00:00,15.82722237
0.00936,0.00939,0.00930691,0.00935075,744.84435768,2017-10-27T09:00:00,6.9641637
0.00935075,0.009478,0.00930692,0.00947799,2080.05247363,2017-10-27T10:00:00,19.51035126
0.00947799,0.00949,0.009401,0.00946363,2558.3391849,2017-10-27T11:00:00,24.1632752
0.009454,0.01001163,0.00942403,0.00963303,17421.27146677,2017-10-27T12:00:00,170.45406511
0.00963303,0.00973175,0.00957157,0.0095892,4138.24965962,2017-10-27T13:00:00,39.97461674
0.0095891,0.0096,0.00948696,0.00949151,2011.38620139,2017-10-27T14:00:00,19.19398056
0.00949245,0.00955997,0.0094915,0.00953398,1618.20290803,2017-10-27T15:00:00,15.40820269
0.00952807,0.00955,0.00947865,0.00954497,1303.36454719,2017-10-27T16:00:00,12.38378363
0.00952691,0.00955,0.0095,0.00955,1506.34926924,2017-10-27T17:00:00,14.34500618
0.00954002,0.0096,0.00954002,0.0095748,3359.3058763,2017-10-27T18:00:00,32.1746892
0.0095748,0.0096,0.0095,0.0095398,1688.22854704,2017-10-27T19:00:00,16.13410843
0.0095398,0.00962691,0.00953164,0.00956078,1417.54552683,2017-10-27T20:00:00,13.57417277
0.00957578,0.00957578,0.00949001,0.00955322,1323.9635752,2017-10-27T21:00:00,12.59331027
0.00955322,0.00955708,0.009501,0.00954983,867.53123503,2017-10-27T22:00:00,8.27431529
0.00955708,0.00957578,0.00951484,0.00951904,1749.16798335,2017-10-27T23:00:00,16.70196806
0.00951906,0.00954,0.00949001,0.00953999,1395.51015913,2017-10-28T00:00:00,13.27745162
0.009515,0.0095502,0.0094707,0.009475,1782.47853332,2017-10-28T01:00:00,16.94560566
0.009475,0.00955185,0.00945755,0.009529,1215.89781019,2017-10-28T02:00:00,11.54018148
0.00955299,0.00958972,0.00951752,0.0095386,1227.74568464,2017-10-28T03:00:00,11.71279453
0.00954301,0.00961005,0.00952807,0.00957788,2062.02798768,2017-10-28T04:00:00,19.7343964
0.00957788,0.0096,0.009517,0.00953,1101.7418194,2017-10-28T05:00:00,10.53544906
0.00951255,0.00953453,0.00949571,0.0095,711.20885802,2017-10-28T06:00:00,6.76830391
0.00953449,0.00955357,0.00944282,0.0095,1357.64113785,2017-10-28T07:00:00,12.87239899
0.00946034,0.00952736,0.00945336,0.0095103,824.57539181,2017-10-28T08:00:00,7.82216876
0.0095103,0.00956199,0.00942275,0.0095151,1576.75624231,2017-10-28T09:00:00,14.98222631
0.00954,0.00958888,0.0095,0.009548,1224.24350036,2017-10-28T10:00:00,11.7000595
0.009548,0.00958888,0.00952809,0.00955,2558.88569715,2017-10-28T11:00:00,24.48835761
0.00955,0.00958,0.00946022,0.0095,2379.53631452,2017-10-28T12:00:00,22.64051085
0.00949,0.00952357,0.00943913,0.00948331,2406.30026635,2017-10-28T13:00:00,22.76312896
0.00948331,0.00955,0.00943915,0.00951058,2242.67513549,2017-10-28T14:00:00,21.24502471
0.00948481,0.00951558,0.00947567,0.009478,1295.76247271,2017-10-28T15:00:00,12.30191032
0.00947901,0.009483,0.00942275,0.00944855,1856.91658248,2017-10-28T16:00:00,17.56864129
0.00944855,0.00947,0.00942236,0.00946499,3295.91882345,2017-10-28T17:00:00,31.09128406
0.00943333,0.00946997,0.00941322,0.00942505,4732.53583536,2017-10-28T18:00:00,44.67126858
0.00943,0.00946497,0.00941041,0.00941289,1759.64614792,2017-10-28T19:00:00,16.59861276
0.00941288,0.00947,0.00940075,0.00942118,1669.07253004,2017-10-28T20:00:00,15.7187469
0.00942119,0.00947,0.0094,0.00944001,2822.23479614,2017-10-28T21:00:00,26.65029848
0.00944001,0.00947,0.00941166,0.00942306,1488.67477783,2017-10-28T22:00:00,14.04538866
0.00942306,0.00944184,0.0094002,0.00942401,2367.86059524,2017-10-28T23:00:00,22.34592299
0.00942402,0.009471,0.00935407,0.00940016,2947.8274799,2017-10-29T00:00:00,27.75582878
0.00942,0.0095,0.00939391,0.0095,3825.74444975,2017-10-29T01:00:00,36.12050576
0.00949999,0.00955,0.00944137,0.00948014,1533.27876289,2017-10-29T02:00:00,14.5707365
0.00948013,0.009528,0.00944028,0.00944414,1098.92186012,2017-10-29T03:00:00,10.40354261
0.00946999,0.0095,0.00941883,0.00945,699.40213354,2017-10-29T04:00:00,6.6011267
0.00944999,0.00952146,0.00941947,0.0094499,3113.01335255,2017-10-29T05:00:00,29.44998401
0.00944607,0.0095,0.00941235,0.00942999,1694.5689718,2017-10-29T06:00:00,15.99104702
0.00942999,0.009433,0.00938887,0.0094,1531.55779385,2017-10-29T07:00:00,14.4045384
0.0094,0.009433,0.00938888,0.00942001,1115.97113407,2017-10-29T08:00:00,10.50256376
0.009425,0.00943748,0.0094,0.009435,2035.86930064,2017-10-29T09:00:00,19.17576698
0.009435,0.00944435,0.0094,0.0094,1543.24459628,2017-10-29T10:00:00,14.53605201
0.0094,0.00947089,0.00937448,0.009459,3414.18860006,2017-10-29T11:00:00,32.13549069
0.00946427,0.00960388,0.00943,0.00957657,8883.38609203,2017-10-29T12:00:00,84.56062913
0.00959999,0.00984241,0.00956401,0.00983637,9258.89000597,2017-10-29T13:00:00,89.95198074
0.00983637,0.00984799,0.00955001,0.00961,5868.94577252,2017-10-29T14:00:00,56.79424231
0.00961,0.0097,0.009441,0.00952421,6815.91475771,2017-10-29T15:00:00,65.31444441
0.00950903,0.0096,0.00946213,0.00951696,3831.94388658,2017-10-29T16:00:00,36.53372418
0.00951696,0.00958805,0.009477,0.00955003,3507.53859434,2017-10-29T17:00:00,33.43655849
0.0095501,0.00958805,0.00948317,0.00949414,3266.48549277,2017-10-29T18:00:00,31.17973246
0.00949414,0.00949414,0.0093337,0.0093337,2430.09187227,2017-10-29T19:00:00,22.87073421
0.0093337,0.0093337,0.00916104,0.00925101,3796.91625854,2017-10-29T20:00:00,35.09194964
0.00925102,0.00932735,0.00914776,0.00918684,4328.37033021,2017-10-29T21:00:00,40.01342795
0.00918684,0.009319,0.00918593,0.00923659,2224.00510203,2017-10-29T22:00:00,20.57892659
0.00923659,0.0092827,0.009191,0.00925,2110.03799471,2017-10-29T23:00:00,19.50475955
0.00925,0.00929774,0.009168,0.00919501,1800.31256233,2017-10-30T00:00:00,16.58106225
0.00921593,0.009275,0.00911516,0.00913501,3653.6814401,2017-10-30T01:00:00,33.60783097
0.0091561,0.00923346,0.00913424,0.00921001,1922.85269729,2017-10-30T02:00:00,17.65861188
0.009167,0.00931,0.009165,0.00923902,1139.1898715,2017-10-30T03:00:00,10.51365273
0.009239,0.00923902,0.00919,0.00919,652.30120392,2017-10-30T04:00:00,6.00899597
0.009225,0.00954789,0.00914803,0.00949,16420.0003792,2017-10-30T05:00:00,154.64004213
0.00949,0.0095614,0.009372,0.00945,5812.95052096,2017-10-30T06:00:00,54.9710366
0.00945,0.00949487,0.00934,0.00934,2364.14995047,2017-10-30T07:00:00,22.27668711
0.00940999,0.00952706,0.00937172,0.0093765,6788.82784677,2017-10-30T08:00:00,64.27866577
0.00938567,0.00938567,0.0092,0.00927,3275.05187384,2017-10-30T09:00:00,30.4568222
0.00927,0.00927927,0.00921,0.00922001,3006.38845287,2017-10-30T10:00:00,27.82909764
0.00922001,0.009255,0.009155,0.00923991,4570.37005669,2017-10-30T11:00:00,42.05149721
0.00923991,0.0093,0.009207,0.009207,2341.39469639,2017-10-30T12:00:00,21.640987
0.009207,0.00926971,0.00919127,0.00923,2073.02108942,2017-10-30T13:00:00,19.11966028
0.00923,0.00934286,0.00922302,0.00931367,1936.60254579,2017-10-30T14:00:00,17.95298244
0.00931367,0.0094,0.0092525,0.00928101,4442.10221813,2017-10-30T15:00:00,41.35751138
0.00928101,0.00931,0.00925251,0.009263,860.71045185,2017-10-30T16:00:00,7.98427639
0.009263,0.00930035,0.009245,0.00926729,1635.5015213,2017-10-30T17:00:00,15.14152988
0.00926729,0.0093106,0.0092,0.00926007,2049.9746919,2017-10-30T18:00:00,18.95179291
0.00925493,0.00926007,0.00919684,0.00925493,2746.88335944,2017-10-30T19:00:00,25.3383167
0.00925493,0.00925493,0.00920982,0.00921,1499.54189069,2017-10-30T20:00:00,13.85323586
0.00921,0.00921,0.00916882,0.00918,2671.21588483,2017-10-30T21:00:00,24.51306739
0.0092,0.00923266,0.00916,0.00919021,2230.7557135,2017-10-30T22:00:00,20.51867436
0.00918582,0.00919021,0.00912616,0.0091476,1937.45559857,2017-10-30T23:00:00,17.73455973
0.0091476,0.00918002,0.00913,0.00916265,1655.03960963,2017-10-31T00:00:00,15.14306439
0.00918002,0.0092069,0.0091,0.0091625,1760.24335572,2017-10-31T01:00:00,16.09841105
0.00916027,0.00922395,0.00914502,0.009162,1730.26741456,2017-10-31T02:00:00,15.8787553
0.00916202,0.009211,0.00915001,0.00918651,1858.61113576,2017-10-31T03:00:00,17.04361295
0.00919,0.00921205,0.00914999,0.00915,888.58938702,2017-10-31T04:00:00,8.15909316
0.00915001,0.00918213,0.0091482,0.00915018,1274.21357838,2017-10-31T05:00:00,11.67951065
0.0091597,0.00917972,0.0091167,0.0091696,1840.33042018,2017-10-31T06:00:00,16.83968413
0.00914,0.00916981,0.00913032,0.0091698,2158.6063339,2017-10-31T07:00:00,19.74847672
0.0091698,0.00916981,0.00912913,0.00914001,1289.91476437,2017-10-31T08:00:00,11.79303006
0.00914001,0.00914042,0.0091,0.009104,1975.09100368,2017-10-31T09:00:00,17.99064654
0.009104,0.00914042,0.0090811,0.00908884,1655.52381932,2017-10-31T10:00:00,15.0630333
0.00908384,0.009126,0.00905037,0.00905326,3806.49510068,2017-10-31T11:00:00,34.53713367
0.00905326,0.00909276,0.00901,0.00902921,1820.00202092,2017-10-31T12:00:00,16.43874879
0.00902921,0.0090401,0.0088668,0.0088989,7502.56443347,2017-10-31T13:00:00,67.10495099
0.0088989,0.00892922,0.00870277,0.00878238,13074.64471636,2017-10-31T14:00:00,114.7476317
0.00873502,0.00881344,0.00873502,0.008765,3668.51952155,2017-10-31T15:00:00,32.1988803
0.008765,0.00883157,0.00874051,0.008788,5901.64353122,2017-10-31T16:00:00,51.80320329
0.00879,0.00883294,0.00875002,0.00876277,5567.72195072,2017-10-31T17:00:00,48.90450253
0.00876373,0.00881,0.00875,0.00880001,2153.76413436,2017-10-31T18:00:00,18.9151952
0.00880003,0.00888035,0.00876266,0.00880003,2794.53783288,2017-10-31T19:00:00,24.63182333
0.00880002,0.00882999,0.00869987,0.00875,3260.34898155,2017-10-31T20:00:00,28.56103085
0.00875,0.008787,0.00869987,0.00870087,2227.72879253,2017-10-31T21:00:00,19.45397613
0.0087,0.0087348,0.00864358,0.00867485,3111.29598572,2017-10-31T22:00:00,26.99107512
0.00866409,0.00870087,0.008597,0.00859701,2734.06469495,2017-10-31T23:00:00,23.61975651
0.00859701,0.00865999,0.0085918,0.00861709,2886.52755231,2017-11-01T00:00:00,24.89293723
0.00861711,0.008659,0.00851701,0.00857004,2036.10799015,2017-11-01T01:00:00,17.49974166
0.008587,0.00861983,0.00855023,0.0085706,4152.00578306,2017-11-01T02:00:00,35.59953913
0.0085706,0.0086,0.00854041,0.008569,3431.52494727,2017-11-01T03:00:00,29.38271407
0.008569,0.00869989,0.00854702,0.0086359,3500.27105781,2017-11-01T04:00:00,30.1800051
0.008632,0.0086579,0.0086,0.00860924,2059.21395461,2017-11-01T05:00:00,17.76011682
0.00860924,0.00865,0.00859951,0.00861079,2044.42763139,2017-11-01T06:00:00,17.6291265
0.00861079,0.00865785,0.00860001,0.00863995,2485.77163091,2017-11-01T07:00:00,21.45349747
